Year,Exporting Country,Importing Country,Flow,Commodity Code,Unity,value_fob_usd,value_cif_usd,Unity_adjusted
2012,ARG,CHN,Export,"Soya beans, whether or not broken",5288083077.0,2722577021.0,2722577021.0,5288083077.0
2012,BRA,CHN,Export,"Soya beans, whether or not broken",0.0,12028317833.0,12028317833.0,321367041692.071
2012,USA,CHN,Export,"Soya beans, whether or not broken",26195524048.0,14877640522.0,14877640522.0,26195524048.0
2013,ARG,CHN,Export,"Soya beans, whether or not broken",6157305373.0,3216109132.0,3216109132.0,6157305373.0
2013,BRA,CHN,Export,"Soya beans, whether or not broken",0.0,17147972473.0,17147972473.0,321367041692.071
2013,USA,CHN,Export,"Soya beans, whether or not broken",24553595386.0,13299889518.0,13299889518.0,24553595386.0
2014,ARG,CHN,Export,"Soya beans, whether or not broken",5983171000.0,3036044239.35,3036044239.35,5983171000.0
2014,BRA,CHN,Export,"Soya beans, whether or not broken",32664330540.0,16615159624.0,16615159624.0,32664330540.0
2014,USA,CHN,Export,"Soya beans, whether or not broken",24326930658.0,14476314262.0,14476314262.0,24326930658.0
2015,ARG,CHN,Export,"Soya beans, whether or not broken",9723394000.0,3540256716.0,3540256716.0,9723394000.0
2015,BRA,CHN,Export,"Soya beans, whether or not broken",40925536485.0,15787785730.0,15787785730.0,40925536485.0
2015,USA,CHN,Export,"Soya beans, whether or not broken",27317813014.0,10523096916.0,10523096916.0,27317813014.0
2016,ARG,CHN,Export,"Soya beans, whether or not broken",7792820000.0,2792549276.8,2792549276.8,7792820000.0
2016,BRA,CHN,Export,"Soya beans, whether or not broken",38563956054.0,14386114595.0,14386114595.0,38563956054.0
2016,USA,CHN,Export,"Soya beans, whether or not broken",36051173480.0,14202621446.0,14202621446.0,36051173480.0
2017,ARG,CHN,Export,"Soya beans, whether or not broken",6603291000.0,2414514435.62,2414514435.62,6603291000.0
2017,BRA,CHN,Export,"Soya beans, whether or not broken",615889230301.0,20310207678.0,20310207678.0,615889230301.0
2017,USA,CHN,Export,"Soya beans, whether or not broken",31689830357.0,12224802399.0,12224802399.0,31689830357.0
2018,ARG,CHN,Export,"Soya beans, whether or not broken",3394680000.0,1313216580.35,1313216580.35,3394680000.0
2018,BRA,CHN,Export,"Soya beans, whether or not broken",2177522000355.0,27233070721.0,27233070721.0,2177522000355.0
2018,USA,CHN,Export,"Soya beans, whether or not broken",8235392057.0,3119336276.0,3119336276.0,8235392057.0
2019,ARG,CHN,Export,"Soya beans, whether or not broken",8962120000.0,3012737560.2,3012737560.2,8962120000.0
2019,BRA,CHN,Export,"Soya beans, whether or not broken",57959100432.0,20452339452.0,20452339452.0,57959100432.0
2019,USA,CHN,Export,"Soya beans, whether or not broken",22575972465.0,7988877001.0,7988877001.0,22575972465.0
2020,ARG,CHN,Export,"Soya beans, whether or not broken",5475490000.0,1867358785.2,1867358785.2,5475490000.0
2020,BRA,CHN,Export,"Soya beans, whether or not broken",60596433360.0,20903176750.0,20903176750.0,60596433360.0
2020,USA,CHN,Export,"Soya beans, whether or not broken",34708471290.0,14202646345.0,14202646345.0,34708471290.0
2021,ARG,CHN,Export,"Soya beans, whether or not broken",3435487000.0,1781766353.65,1781766353.65,3435487000.0
2021,BRA,CHN,Export,"Soya beans, whether or not broken",61031524827.0,27208101300.0,27208101300.0,61031524827.0
2021,USA,CHN,Export,"Soya beans, whether or not broken",27313977871.0,14102154082.0,14102154082.0,27313977871.0
2022,ARG,CHN,Export,"Soya beans, whether or not broken",4924690000.0,2891531556.8,2891531556.8,4924690000.0
2022,BRA,CHN,Export,"Soya beans, whether or not broken",53815088185.71,31848677682.0,31848677682.0,53815088185.71
2022,USA,CHN,Export,"Soya beans, whether or not broken",30395674267.0,17871585339.0,17871585339.0,30395674267.0
2023,ARG,CHN,Export,"Soya beans, whether or not broken",1736410000.0,937216526.68,937216526.68,1736410000.0
2023,BRA,CHN,Export,"Soya beans, whether or not broken",74703216381.0,38917721136.0,38917721136.0,74703216381.0
2023,USA,CHN,Export,"Soya beans, whether or not broken",26602542393.0,15163713089.0,15163713089.0,26602542393.0
