typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20120101","2012","52","2012","32","ARG","Argentina","X","Export","156","CHN","China","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5288083077","false","-1","N/A",,"false","5288083077","false",,"false",,"2722577021","2722577021","0","true","false",
"C","A","20120101","2012","52","2012","76","BRA","Brazil","X","Export","156","CHN","China","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"12028317833","12028317833","0","false","true",
"C","A","20120101","2012","52","2012","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","26195524048","false","-1","N/A",,"false","26195524048","false",,"false",,"14877640522","14877640522","0","true","false",
"C","A","20130101","2013","52","2013","32","ARG","Argentina","X","Export","156","CHN","China","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6157305373","false","-1","N/A",,"false","6157305373","false",,"false",,"3216109132","3216109132","0","true","false",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","X","Export","156","CHN","China","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"17147972473","17147972473","0","false","true",
"C","A","20130101","2013","52","2013","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24553595386","false","-1","N/A",,"false","24553595386","false",,"false",,"13299889518","13299889518","0","true","false",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","X","Export","156","CHN","China","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","5983171000","false","8","kg","5983171000","false","5983171000","false",,"false",,"3036044239.35","3036044239.35","0","false","true",
"C","A","20140101","2014","52","2014","76","BRA","Brazil","X","Export","156","CHN","China","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32664330540","false","-1","N/A","0","false","32664318261","false","0","false",,"16615159624","16615159624","0","false","true",
"C","A","20140101","2014","52","2014","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24326930658","true","-1","N/A",,"false","24326930658","true",,"false",,"14476314262","14476314262","6","true","false",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","X","Export","156","CHN","China","899","_X ","Areas, nes","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","5983171000","false","8","kg","5983171000","false","5983171000","false",,"false",,"3036044239.35","3036044239.35","0","false","true",
"C","A","20150101","2015","52","2015","32","ARG","Argentina","X","Export","156","CHN","China","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","9723394000","false","8","kg","9723394000","false","9723394000","false",,"false",,"3540256716","3540256716","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","156","CHN","China","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","40925536485","false","-1","N/A","0","false","40925509771","false","0","false",,"15787785730","15787785730","0","false","true",
"C","A","20150101","2015","52","2015","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","27317813014","false","-1","N/A",,"false","27317813014","false",,"false",,"10523096916","10523096916","0","true","false",
"C","A","20160101","2016","52","2016","32","ARG","Argentina","X","Export","156","CHN","China","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","7792820000","false","8","kg","7792820000","false","7792820000","false",,"false",,"2792549276.8","2792549276.8","0","false","true",
